instrument_id,name,sleeve,type,maturity_years,coupon_rate,face_value,coupon_frequency,curve_tenor,is_tips_style,base_yield,base_price,duration_macaulay,duration_modified,convexity,dv01_per_100_face,krd_2y,krd_5y,krd_10y,krd_30y
CASH,Cash / Ultra-Short Bill,cash,cash,0.25,0.0,100.0,1,3M,False,0.04,99.0148,0.25,0.2451,0.1802,0.002427,-0.0,-0.0,-0.0,-0.0
UST_2Y,2Y Treasury Proxy,short_treasury,nominal,2.0,0.045,100.0,2,2Y,False,0.045511,99.9034,1.9349,1.8919,4.573,0.0189,1.8613,-0.0,-0.0,-0.0
UST_5Y,5Y Treasury Proxy,intermediate_treasury,nominal,5.0,0.0475,100.0,2,5Y,False,0.047345,100.0684,4.5092,4.405,22.8348,0.04408,0.2348,4.1354,-0.0,-0.0
UST_10Y,10Y Treasury Proxy,long_intermediate_treasury,nominal,10.0,0.05,100.0,2,10Y,False,0.049127,100.6834,7.9976,7.8058,73.7897,0.078592,0.2457,0.8237,6.6861,-0.0
UST_30Y,30Y Treasury Proxy,long_treasury,nominal,30.0,0.05375,100.0,2,30Y,False,0.051985,102.6676,15.4009,15.0107,336.3479,0.154111,0.259,0.8683,4.2343,9.3463
TIPS_10Y,10Y TIPS-Style Proxy,tips_style,real,10.0,0.025,100.0,2,10Y,True,0.025313,99.7254,8.9078,8.7965,87.619,0.087723,0.0,0.637,8.1482,-0.0
