instrument_id,name,sleeve,type,maturity_years,coupon_rate,face_value,coupon_frequency,curve_tenor,is_tips_style,base_yield,base_price,duration_macaulay,duration_modified,convexity,dv01_per_100_face,krd_2y,krd_5y,krd_10y,krd_30y
CASH,Cash / Ultra-Short Bill,cash,cash,0.25,0.0,100.0,1,3M,False,0.0389,99.0415,0.25,0.2452,0.1804,0.002429,-0.0,-0.0,-0.0,-0.0
UST_2Y,2Y Treasury Proxy,short_treasury,nominal,2.0,0.04375,100.0,2,2Y,False,0.04333,100.0796,1.9367,1.8957,4.5885,0.018972,1.8659,-0.0,-0.0,-0.0
UST_5Y,5Y Treasury Proxy,intermediate_treasury,nominal,5.0,0.045,100.0,2,5Y,False,0.045066,99.9707,4.5328,4.4329,23.0483,0.044316,0.2242,4.1757,-0.0,-0.0
UST_10Y,10Y Treasury Proxy,long_intermediate_treasury,nominal,10.0,0.0475,100.0,2,10Y,False,0.047285,100.1701,8.0767,7.8901,74.9451,0.079036,0.2362,0.7972,6.8064,-0.0
UST_30Y,30Y Treasury Proxy,long_treasury,nominal,30.0,0.0525,100.0,2,30Y,False,0.050576,102.9539,15.6239,15.2386,344.2456,0.156887,0.254,0.8573,4.2276,9.5596
TIPS_10Y,10Y TIPS-Style Proxy,tips_style,real,10.0,0.02375,100.0,2,10Y,True,0.024015,99.7658,8.9583,8.852,88.4091,0.088313,0.0,0.6096,8.2311,-0.0
