date,cpi_yoy,core_cpi_yoy
2016-01-01,0.012375025026943876,0.02145022538582464
2016-02-01,0.008472775790126619,0.02222573822094165
2016-03-01,0.008916160965521946,0.02142426948557663
2016-04-01,0.011726257503534843,0.02156654761214183
2016-05-01,0.010784764621246223,0.022545595974976074
2016-06-01,0.010792865347959424,0.022622116465067066
2016-07-01,0.008683633430518256,0.021701399624842965
2016-08-01,0.010553158595656864,0.023087345614186683
2016-09-01,0.015486446201652182,0.022711206825691832
2016-10-01,0.01685924966243646,0.022045551507991146
2016-11-01,0.016843334719788938,0.021454219398053587
2016-12-01,0.020507989115119862,0.02197123661300271
2017-01-01,0.025103933482571117,0.022502092221020176
2017-02-01,0.028103616813294208,0.022353468290497336
2017-03-01,0.0244119623655914,0.02045845481938735
2017-04-01,0.02176223471915395,0.018965650108902388
2017-05-01,0.018563431667619756,0.017370931912259246
2017-06-01,0.01640565809959127,0.01699119334249022
2017-07-01,0.017251073506566073,0.016769627444729984
2017-08-01,0.0192812155729698,0.016552412618799472
2017-09-01,0.021805652303711787,0.015953898457655935
2017-10-01,0.02020757753132485,0.017596390813271245
2017-11-01,0.02172493864295566,0.017376072726981162
2017-12-01,0.021299307195522532,0.01770166453265043
2018-01-01,0.02151318868063945,0.018912671130328462
2018-02-01,0.02263468931091861,0.0187770420481439
2018-03-01,0.023309497646499366,0.021227843662331214
2018-04-01,0.024709963021052994,0.02150644636125887
2018-05-01,0.02781921607842497,0.02272998448872432
2018-06-01,0.028075506935940187,0.022455173071270318
2018-07-01,0.02854124785561929,0.02267595293370639
2018-08-01,0.026429238568742575,0.021208941334864617
2018-09-01,0.02332055105808828,0.021976804898501623
2018-10-01,0.02492032470218053,0.02126409125691242
2018-11-01,0.02147328577667773,0.022153843729315836
2018-12-01,0.020023809043401064,0.022485295505299874
2019-01-01,0.014875893578291333,0.021794329242488475
2019-02-01,0.015188615351321877,0.021410889637129227
2019-03-01,0.018831863513063984,0.0206656235001228
2019-04-01,0.020005834702090608,0.020913377235709074
2019-05-01,0.017959105553606136,0.0197242800754438
2019-06-01,0.01671194894390049,0.020746001344216447
2019-07-01,0.01826331335037068,0.021657049503490455
2019-08-01,0.017376412106666406,0.02321135673598529
2019-09-01,0.016844977040391562,0.023300099083477743
2019-10-01,0.017339736996186295,0.023378148209658223
2019-11-01,0.020922903948629168,0.023546960942649298
2019-12-01,0.023195274699624457,0.022905988164406255
2020-01-01,0.02599767976845202,0.022817391837892886
2020-02-01,0.023413166797595197,0.023676613601035346
2020-03-01,0.014940399642909163,0.02097741687598198
2020-04-01,0.003130472940411133,0.014309324152566472
2020-05-01,0.001982013035848551,0.012184564692601985
2020-06-01,0.007166562831830481,0.011836841884912408
2020-07-01,0.009968647625897997,0.015606958371315871
2020-08-01,0.012810698495523853,0.017223933878284248
2020-09-01,0.013910228912373812,0.01719064405343662
2020-10-01,0.012303863428671624,0.01636411669245552
2020-11-01,0.011757452138405844,0.016693780408814973
2020-12-01,0.013204191315779434,0.01624313961356294
2021-01-01,0.013738437137002402,0.013763703714812836
2021-02-01,0.016698167791706853,0.012802483449900981
2021-03-01,0.026678187820641908,0.016494791315614155
2021-04-01,0.04133077115360573,0.029780316542864504
2021-05-01,0.04918257089467626,0.03787696110198491
2021-06-01,0.05295632620349999,0.04439362194328367
2021-07-01,0.05245169381309234,0.042107192143281846
2021-08-01,0.05152015301793966,0.039396919775577244
2021-09-01,0.05351215590949132,0.04002855729865806
2021-10-01,0.06235042390298062,0.045903173341849124
2021-11-01,0.06901970403700863,0.04972572143965692
2021-12-01,0.07174340285065539,0.05488993530393094
2022-01-01,0.07558805726967832,0.060542851542418896
2022-02-01,0.07937278766517819,0.06455115161765645
2022-03-01,0.08572204966013852,0.06482378554404167
2022-04-01,0.08231750770777224,0.06158737119052837
2022-05-01,0.08538171195642064,0.060254478790408905
2022-06-01,0.08979361103105798,0.05906335651591377
2022-07-01,0.08462576727730098,0.05899916740834321
2022-08-01,0.08222579178218825,0.06286089097732228
2022-09-01,0.08192106896425821,0.06624287624509306
2022-10-01,0.07758813957693,0.06294999786983246
2022-11-01,0.07122856456533988,0.05969880665899807
2022-12-01,0.06404600402357152,0.05685531944736666
2023-01-01,0.06327178517960097,0.05539533472591773
2023-02-01,0.05957820738137087,0.054982603296180876
2023-03-01,0.04917719362889961,0.05566741392671326
2023-04-01,0.049500798791243694,0.05514364195873522
2023-05-01,0.04131851231385042,0.05337547036084689
2023-06-01,0.03070617072997095,0.04853596327155252
2023-07-01,0.03287749268428297,0.04700970557935236
2023-08-01,0.03722504803505289,0.04399143440066089
2023-09-01,0.03687206638119256,0.04128747996485882
2023-10-01,0.032512659098611785,0.04027401561127464
2023-11-01,0.031333462745911866,0.04017980521102138
2023-12-01,0.033159099427102934,0.039154727698627045
2024-01-01,0.030883429864855705,0.03858354094937266
2024-02-01,0.03157074141648697,0.037619647313751337
2024-03-01,0.034868349120836584,0.038161935067360986
2024-04-01,0.033607951262196734,0.03626025171759095
2024-05-01,0.03244278584003113,0.03394419668976645
2024-06-01,0.029702579486470926,0.032654173234475614
2024-07-01,0.029414757935583014,0.03230191610564481
2024-08-01,0.02607144490692037,0.03285095936430005
2024-09-01,0.024264830315416708,0.032823574494668994
2024-10-01,0.02578844053871343,0.03298689706765301
2024-11-01,0.02719472461284833,0.032859356193500444
2024-12-01,0.028706909675099812,0.032133335461932644
2025-01-01,0.029909783078999608,0.03282970485398584
2025-02-01,0.028015834477613355,0.0313755688228059
2025-03-01,0.02381981462805549,0.02808783050077035
2025-04-01,0.0232538823025783,0.027760200724699313
2025-05-01,0.023772651073680873,0.027658403935930886
2025-06-01,0.02680453865910226,0.02910895442696071
2025-07-01,0.02742618052167134,0.030544930080893096
2025-08-01,0.029385917430316155,0.03111806098514469
2025-09-01,0.030225715847133294,0.030199668258857892
2025-11-01,0.026964439164939513,0.025990448060944082
2025-12-01,0.02653304114557753,0.026464847073089937
2026-01-01,0.02391201432150014,0.02512028782828879
2026-02-01,0.024340041103732224,0.024724624767640258
2026-03-01,0.032859577528651984,0.026021677054868242
2026-04-01,0.03779245836741563,0.027433094309685213
2026-05-01,0.04166614684049641,0.028229420636110225
2026-06-01,0.03463530729385411,0.025657850563697515
2026-07-01,0.03303856050706311,0.024665177892309265
2026-08-01,0.03353016322755642,0.024461631786472537
